logNN.thrstint1_x,logNN.thrstint1_y,logNN.thrstint2_x,logNN.thrstint2_y,logNN.thrstint3_x,logNN.thrstint3_y,logNN.thrstint4_x,logNN.thrstint4_y
54658.,0.,54658.,0.,54658.,0.,54658.,0.
54758.,5629.,54758.,605.,54758.,2766.,54758.,3259.
54858.,8531.,54858.,6450.,54858.,9820.,54858.,6688.
54958.,7171.,54958.,7319.,54958.,3412.,54958.,6131.
55058.,9359.,55058.,7011.,55058.,4341.,55058.,4829.
55158.,5765.,55158.,6843.,55158.,4762.,55158.,5165.
55258.,2837.,55258.,6881.,55258.,7270.,55258.,4676.
55358.,0.,55358.,3337.,55358.,2674.,55358.,0.
55458.,2244.,55458.,5840.,55458.,1387.,55458.,2806.
55558.,10245.,55558.,0.,55558.,15880.,55558.,2751.
55658.,6207.,55658.,16853.,55658.,3574.,55658.,16653.
55758.,5173.,55758.,17454.,55758.,11235.,55758.,20243.
55858.,27004.,55858.,21479.,55858.,25344.,55858.,23365.
55958.,20873.,55958.,17297.,55958.,15579.,55958.,14468.
56058.,17834.,56058.,12566.,56058.,16867.,56058.,20607.
56158.,9090.,56158.,6487.,56158.,8722.,56158.,11662.
56258.,3864.,56258.,5160.,56258.,5386.,56258.,4330.
56358.,4127.,56358.,0.,56358.,1978.,56358.,258.
56458.,0.,56458.,0.,56458.,0.,56458.,0.
56558.,3887.,56558.,1252.,56558.,2775.,56558.,2467.
56658.,639.,56658.,0.,56658.,4786.,56658.,0.
56758.,1345.,56758.,5927.,56758.,3808.,56758.,4223.
56858.,606.,56858.,0.,56858.,202.,56858.,0.
56958.,0.,56958.,337.,56958.,0.,56958.,0.
57058.,4529.,57058.,3715.,57058.,3565.,57058.,0.
57158.,9040.,57158.,5742.,57158.,7379.,57158.,9188.
57258.,5944.,57258.,8503.,57258.,13646.,57258.,9099.
57358.,5711.,57358.,7240.,57358.,9720.,57358.,9593.
57458.,4763.,57458.,6441.,57458.,7721.,57458.,6098.
57558.,7140.,57558.,3940.,57558.,5702.,57558.,3499.
57658.,4416.,57658.,1210.,57658.,0.,57658.,3426.
57758.,895.,57758.,0.,57758.,34841.,57758.,0.
57858.,12238.,57858.,3928.,57858.,7017.,57858.,8055.
57958.,3663.,57958.,16657.,57958.,2837.,57958.,16230.
58058.,12053.,58058.,18001.,58058.,17696.,58058.,24241.
58158.,26460.,58158.,19079.,58158.,23597.,58158.,19770.
58258.,20725.,58258.,16852.,58258.,18616.,58258.,18062.
58358.,10879.,58358.,13520.,58358.,7036.,58358.,11593.
58458.,7639.,58458.,7113.,58458.,3115.,58458.,5862.
58558.,7315.,58558.,5759.,58558.,3692.,58558.,3509.
58658.,1545.,58658.,249.,58658.,0.,58658.,0.
58758.,0.,58758.,1106.,58758.,0.,58758.,3571.
58858.,5303.,58858.,367.,58858.,1720.,58858.,94.
58958.,4322.,58958.,2171.,58958.,2933.,58958.,7460.
59058.,1225.,59058.,4937.,59058.,1962.,59058.,6048.
59158.,1933.,59158.,0.,59158.,1778.,59158.,5107.
59258.,0.,59258.,0.,59258.,543.,59258.,0.
59358.,4606.,59358.,3322.,59358.,3034.,59358.,3531.
59458.,6891.,59458.,6314.,59458.,3146.,59458.,7414.
59558.,10888.,59558.,6718.,59558.,6239.,59558.,4546.
59658.,7876.,59658.,7723.,59658.,6665.,59658.,7833.
59758.,6655.,59758.,5277.,59758.,6906.,59758.,4653.
59858.,5104.,59858.,5304.,59858.,7247.,59858.,7980.
59958.,1988.,59958.,1260.,59958.,791.,59958.,2413.
60058.,19380.,60058.,0.,60058.,7974.,60058.,5074.
60158.,9416.,60158.,11620.,60158.,12292.,60158.,16806.
